0000004C, AMS_PackVoltage, 0.0
00003CC1, AdjustedVoltageCellMuxSelect, 29
00003CC1, AdjustedVoltageCell88, 3.7827
00003CC1, AdjustedVoltageCell89, 3.7729000000000004
00003CC1, AdjustedVoltageCell90, 3.7741000000000002
00003CC1, TempChannelMuxSelect, 29
00003CC1, TempChannel88, 24.519999999999996
00003CC1, TempChannel89, 21.39
00003CC1, TempChannel90, 21.47
00003CC1, VCU_wheelSpeed_RL, 0.0
00003CC1, VCU_wheelSpeed_RR, 0.0
00003CC1, RLSpeedKPH, 0.0
00003CC1, RRSpeedKPH, 0.0
00003CC1, FLSpeedKPH, 0.0
00003CC1, FRSpeedKPH, 0.0
00003CC1, TCTorqueMax, 3.392
00003CC1, TCLeftSlip, -0.999
00003CC1, TCRightSlip, -0.999
00003CC1, TCTorqueAdjustment, 0.0
00003CC1, ThrottlePercent, 0
00003CC1, BrakePercent, 8
00003CC1, brakePressure, 10
00003CC1, SteeringAngle, -102
00003CC1, BrakeWhileThrottle, 0
00003CD3, VoltageBusHV, 0.0
00003CD3, VoltageCellMax, 3.9129
00003CD3, VoltageCellMin, 3.6957
00003CD3, CurrentBusHV, 0.0
00003CD4, AMS_PackVoltage, 525.59
00003CD4, VCU_wheelSpeed_RL, 0.0
00003CD4, VCU_wheelSpeed_RR, 0.0
00003CD5, VoltageCellMuxSelect, 30
00003CD5, VoltageCell91, 3.7165000000000004
00003CD5, VoltageCell92, 3.7275
00003CD5, VoltageCell93, 3.7263
00003CD6, RLSpeedKPH, 0.0
00003CD6, RRSpeedKPH, 0.0
00003CD6, FLSpeedKPH, 0.0
00003CD6, FRSpeedKPH, 0.0
00003CD8, TCTorqueMax, 3.392
00003CD8, TCLeftSlip, -0.999
00003CD8, TCRightSlip, -0.999
00003CD8, TCTorqueAdjustment, 0.0
00003CD9, AdjustedVoltageCellMuxSelect, 30
00003CD9, AdjustedVoltageCell91, 3.7159
00003CD9, AdjustedVoltageCell92, 3.7274000000000003
00003CD9, AdjustedVoltageCell93, 3.7263
00003CDB, TempChannelMuxSelect, 30
00003CDB, TempChannel91, 21.61
00003CDB, TempChannel92, 21.450000000000003
00003CDB, TempChannel93, 21.409999999999997
00003CED, ThrottlePercent, 0
00003CED, BrakePercent, 9
00003CED, brakePressure, 10
00003CED, SteeringAngle, -102
00003CED, BrakeWhileThrottle, 0
00003CF7, VCU_wheelSpeed_RL, 0.0
00003CF7, VCU_wheelSpeed_RR, 0.0
00003CF9, RLSpeedKPH, 0.0
00003CF9, RRSpeedKPH, 0.0
00003CF9, FLSpeedKPH, 0.0
00003CF9, FRSpeedKPH, 0.0
00003CFB, TCTorqueMax, 3.392
00003CFB, TCLeftSlip, -0.999
00003CFB, TCRightSlip, -0.999
00003CFB, TCTorqueAdjustment, 0.0
00003D15, StateBatteryChargeHV, 92.80000000000001
00003D15, StateBatteryHealthHV, 0.0
00003D15, StateBatteryPowerHV, 100.80000000000001
00003D15, TempCellMax, 24.75
00003D15, TempCellMin, 21.5
00003D15, StateBMS, Wait_System_Up
00003D15, VoltageCellMuxSelect, 31
00003D15, VoltageCell94, 3.7263
00003D15, VoltageCell95, 3.7258
00003D15, VoltageCell96, 3.7299
00003D17, AdjustedVoltageCellMuxSelect, 31
00003D17, AdjustedVoltageCell94, 3.7263
00003D17, AdjustedVoltageCell95, 3.7258
00003D17, AdjustedVoltageCell96, 3.7298
00003D19, TempChannelMuxSelect, 31
00003D19, TempChannel94, 21.460000000000008
00003D19, TempChannel95, 21.409999999999997
00003D19, TempChannel96, 21.35000000000001
00003D1A, VCU_wheelSpeed_RL, 0.0
00003D1A, VCU_wheelSpeed_RR, 0.0
00003D1C, RLSpeedKPH, 0.0
00003D1C, RRSpeedKPH, 0.0
00003D1C, FLSpeedKPH, 0.0
00003D1C, FRSpeedKPH, 0.0
00003D1E, TCTorqueMax, 3.392
00003D1E, TCLeftSlip, -0.999
00003D1E, TCRightSlip, -0.999
00003D1E, TCTorqueAdjustment, 0.0
00003D1F, ThrottlePercent, 0
00003D1F, BrakePercent, 8
00003D1F, brakePressure, 10
00003D1F, SteeringAngle, -102
00003D1F, BrakeWhileThrottle, 0
00003D3B, VoltageBusHV, 0.0
00003D3B, VoltageCellMax, 3.9129
00003D3B, VoltageCellMin, 3.6956
00003D3B, CurrentBusHV, 0.0
00003D3B, VoltageCellMuxSelect, 32
00003D3B, VoltageCell97, 3.7167000000000003
00003D3B, VoltageCell98, 3.7849000000000004
00003D3B, VoltageCell99, 3.7728
00003D3B, AMS_PackVoltage, 525.59
00003D3D, AdjustedVoltageCellMuxSelect, 32
00003D3D, AdjustedVoltageCell97, 3.7172
00003D3D, AdjustedVoltageCell98, 3.7844
00003D3D, AdjustedVoltageCell99, 3.7728
00003D3D, VCU_wheelSpeed_RL, 0.0
00003D3D, VCU_wheelSpeed_RR, 0.0
00003D3F, RLSpeedKPH, 0.0
00003D3F, RRSpeedKPH, 0.0
00003D3F, FLSpeedKPH, 0.0
00003D3F, FRSpeedKPH, 0.0
00003D41, TCTorqueMax, 3.392
00003D41, TCLeftSlip, -0.999
00003D41, TCRightSlip, -0.999
00003D41, TCTorqueAdjustment, 0.0
00003D41, TempChannelMuxSelect, 32
00003D41, TempChannel97, 21.450000000000003
00003D41, TempChannel98, 21.35000000000001
00003D41, TempChannel99, 21.450000000000003
00003D51, ThrottlePercent, 0
00003D51, BrakePercent, 5
00003D51, brakePressure, 10
00003D51, SteeringAngle, -102
00003D51, BrakeWhileThrottle, 0
00003D60, VCU_wheelSpeed_RL, 0.0
00003D60, VCU_wheelSpeed_RR, 0.0
00003D62, RLSpeedKPH, 0.0
00003D62, RRSpeedKPH, 0.0
00003D62, FLSpeedKPH, 0.0
00003D62, FRSpeedKPH, 0.0
00003D64, TCTorqueMax, 3.392
00003D64, TCLeftSlip, -0.999
00003D64, TCRightSlip, -0.999
00003D64, TCTorqueAdjustment, 0.0
00003D83, StateBatteryChargeHV, 92.80000000000001
00003D83, StateBatteryHealthHV, 0.0
00003D83, StateBatteryPowerHV, 100.80000000000001
00003D83, TempCellMax, 24.75
00003D83, TempCellMin, 21.5
00003D83, StateBMS, Wait_System_Up
00003D83, ThrottlePercent, 0
00003D83, BrakePercent, 10
00003D83, brakePressure, 10
00003D83, SteeringAngle, -102
00003D83, BrakeWhileThrottle, 0
00003D83, VCU_wheelSpeed_RL, 0.0
00003D83, VCU_wheelSpeed_RR, 0.0
00003D85, RLSpeedKPH, 0.0
00003D85, RRSpeedKPH, 0.0
00003D85, FLSpeedKPH, 0.0
00003D85, FRSpeedKPH, 0.0
00003D85, AdjustedVoltageCellMuxSelect, 33
00003D85, AdjustedVoltageCell100, 3.7719
00003D85, AdjustedVoltageCell101, 3.7215000000000003
00003D85, AdjustedVoltageCell102, 3.7259
00003D87, TCTorqueMax, 3.392
00003D87, TCLeftSlip, -0.999
00003D87, TCRightSlip, -0.999
00003D87, TCTorqueAdjustment, 0.0
00003D87, TempChannelMuxSelect, 33
00003D87, TempChannel100, 21.35000000000001
00003D87, TempChannel101, 21.450000000000003
00003D87, TempChannel102, 21.430000000000007
00003D9F, VoltageCellMuxSelect, 34
00003D9F, VoltageCell103, 3.7249000000000003
00003D9F, VoltageCell104, 3.7258
00003D9F, VoltageCell105, 3.7253000000000003
00003DA1, VoltageBusHV, 0.0
00003DA1, VoltageCellMax, 3.9129
00003DA1, VoltageCellMin, 3.6956
00003DA1, CurrentBusHV, 0.0
00003DA2, AdjustedVoltageCellMuxSelect, 34
00003DA2, AdjustedVoltageCell103, 3.725
00003DA2, AdjustedVoltageCell104, 3.7258
00003DA2, AdjustedVoltageCell105, 3.7253000000000003
00003DA3, AMS_PackVoltage, 525.59
00003DA3, TempChannelMuxSelect, 34
00003DA3, TempChannel103, 24.519999999999996
00003DA3, TempChannel104, 21.430000000000007
00003DA3, TempChannel105, 24.519999999999996
00003DA6, VCU_wheelSpeed_RL, 0.0
00003DA6, VCU_wheelSpeed_RR, 0.0
00003DA8, RLSpeedKPH, 0.0
00003DA8, RRSpeedKPH, 0.0
00003DA8, FLSpeedKPH, 0.0
00003DA8, FRSpeedKPH, 0.0
00003DAA, TCTorqueMax, 3.392
00003DAA, TCLeftSlip, -0.999
00003DAA, TCRightSlip, -0.999
00003DAA, TCTorqueAdjustment, 0.0
00003DB5, ThrottlePercent, 0
00003DB5, BrakePercent, 8
00003DB5, brakePressure, 10
00003DB5, SteeringAngle, -102
00003DB5, BrakeWhileThrottle, 0
00003DC9, VCU_wheelSpeed_RL, 0.0
00003DC9, VCU_wheelSpeed_RR, 0.0
00003DCB, RLSpeedKPH, 0.0
00003DCB, RRSpeedKPH, 0.0
00003DCB, FLSpeedKPH, 0.0
00003DCB, FRSpeedKPH, 0.0
00003DCD, TCTorqueMax, 3.392
00003DCD, TCLeftSlip, -0.999
00003DCD, TCRightSlip, -0.999
00003DCD, TCTorqueAdjustment, 0.0
00003DCF, VoltageCellMuxSelect, 35
00003DCF, VoltageCell106, 3.7288
00003DCF, VoltageCell107, 3.7150000000000003
00003DCF, VoltageCell108, 3.7830000000000004
00003DD1, AdjustedVoltageCellMuxSelect, 35
00003DD1, AdjustedVoltageCell106, 3.7287000000000003
00003DD1, AdjustedVoltageCell107, 3.7153
00003DD1, AdjustedVoltageCell108, 3.7827
00003DD5, TempChannelMuxSelect, 35
00003DD5, TempChannel106, 21.430000000000007
00003DD5, TempChannel107, 21.36
00003DD5, TempChannel108, 21.540000000000006
00003DE7, ThrottlePercent, 0
00003DE7, BrakePercent, 8
00003DE7, brakePressure, 10
00003DE7, SteeringAngle, -102
00003DE7, BrakeWhileThrottle, 0
00003DEC, VCU_wheelSpeed_RL, 0.0
00003DEC, VCU_wheelSpeed_RR, 0.0
00003DEE, RLSpeedKPH, 0.0
00003DEE, RRSpeedKPH, 0.0
00003DEE, FLSpeedKPH, 0.0
00003DEE, FRSpeedKPH, 0.0
00003DF0, TCTorqueMax, 3.392
00003DF0, TCLeftSlip, -0.999
00003DF0, TCRightSlip, -0.999
00003DF0, TCTorqueAdjustment, 0.0
00003DF1, StateBatteryChargeHV, 92.80000000000001
00003DF1, StateBatteryHealthHV, 0.0
00003DF1, StateBatteryPowerHV, 100.80000000000001
00003DF1, TempCellMax, 24.75
00003DF1, TempCellMin, 21.5
00003DF1, StateBMS, Wait_System_Up
00003E01, VoltageCellMuxSelect, 36
00003E01, VoltageCell109, 3.7744
00003E01, VoltageCell110, 3.7733000000000003
00003E01, VoltageCell111, 3.7309
00003E03, AdjustedVoltageCellMuxSelect, 36
00003E03, AdjustedVoltageCell109, 3.7744
00003E03, AdjustedVoltageCell110, 3.7732
00003E03, AdjustedVoltageCell111, 3.7312000000000003
00003E07, TempChannelMuxSelect, 36
00003E07, TempChannel109, 21.409999999999997
00003E07, TempChannel110, 21.549999999999997
00003E07, TempChannel111, 21.450000000000003
00003E08, VoltageBusHV, 0.05
00003E08, VoltageCellMax, 3.9129
00003E08, VoltageCellMin, 3.6955
00003E08, CurrentBusHV, 0.01
00003E0A, AMS_PackVoltage, 525.59
00003E0F, VCU_wheelSpeed_RL, 0.0
00003E0F, VCU_wheelSpeed_RR, 0.0
00003E11, RLSpeedKPH, 0.0
00003E11, RRSpeedKPH, 0.0
00003E11, FLSpeedKPH, 0.0
00003E11, FRSpeedKPH, 0.0
00003E13, TCTorqueMax, 3.392
00003E13, TCLeftSlip, -0.999
00003E13, TCRightSlip, -0.999
00003E13, TCTorqueAdjustment, 0.0
00003E19, ThrottlePercent, 0
00003E19, BrakePercent, 7
00003E19, brakePressure, 10
00003E19, SteeringAngle, -102
00003E19, BrakeWhileThrottle, 0
00003E32, VCU_wheelSpeed_RL, 0.0
00003E32, VCU_wheelSpeed_RR, 0.0
00003E33, VoltageCellMuxSelect, 37
00003E33, VoltageCell112, 3.7270000000000003
00003E33, VoltageCell113, 3.7266000000000004
00003E33, VoltageCell114, 3.7273
00003E33, PDU_Heartbeat_dummydata, 0
00003E34, RLSpeedKPH, 0.0
00003E34, RRSpeedKPH, 0.0
00003E34, FLSpeedKPH, 0.0
00003E34, FRSpeedKPH, 0.0
00003E34, ChannelCurrentFanLeft, 0.0
00003E34, ChannelCurrentFanRight, 0.0
00003E34, ChannelCurrentPumpLeft, 0.0
00003E34, ChannelCurrentPumpRight, 0.0
00003E34, ChannelCurrentBMU, 0.28
00003E34, ChannelCurrentDCU, 0.04
00003E34, ChannelCurrentVCU, 0.56
00003E34, ChannelCurrentWSB, 0.4
00003E34, ChannelCurrentAUX, 0.0
00003E34, ChannelCurrentBrakeLight, 0.0
00003E34, ChannelCurrentMCLeft, 0.0
00003E34, ChannelCurrentMCRight, 0.0
00003E35, CarStateIsLV, -1
00003E35, CarStateIsEM, 0
00003E35, CarStateIsHV, 0
00003E36, TCTorqueMax, 3.392
00003E36, TCLeftSlip, -0.999
00003E36, TCRightSlip, -0.999
00003E36, TCTorqueAdjustment, 0.0
00003E37, AdjustedVoltageCellMuxSelect, 37
00003E37, AdjustedVoltageCell112, 3.7270000000000003
00003E37, AdjustedVoltageCell113, 3.7266000000000004
00003E37, AdjustedVoltageCell114, 3.7272000000000003
00003E39, TempChannelMuxSelect, 37
00003E39, TempChannel112, 21.39
00003E39, TempChannel113, 21.39
00003E39, TempChannel114, 21.409999999999997
00003E4C, DCU_Heartbeat_dummydata, 0
00003E4C, ThrottlePercent, 0
00003E4C, BrakePercent, 11
00003E4C, brakePressure, 10
00003E4C, SteeringAngle, -102
00003E4C, BrakeWhileThrottle, 0
00003E55, VCU_wheelSpeed_RL, 0.0
00003E55, VCU_wheelSpeed_RR, 0.0
00003E57, RLSpeedKPH, 0.0
00003E57, RRSpeedKPH, 0.0
00003E57, FLSpeedKPH, 0.0
00003E57, FRSpeedKPH, 0.0
00003E59, TCTorqueMax, 3.392
00003E59, TCLeftSlip, -0.999
00003E59, TCRightSlip, -0.999
00003E59, TCTorqueAdjustment, 0.0
00003E5F, StateBatteryChargeHV, 92.80000000000001
00003E5F, StateBatteryHealthHV, 0.0
00003E5F, StateBatteryPowerHV, 100.80000000000001
00003E5F, TempCellMax, 24.75
00003E5F, TempCellMin, 21.5
00003E5F, StateBMS, Wait_System_Up
00003E65, BMU_Heartbeat_dummydata, 0
00003E65, BrakePressureBMU, 499.0
00003E65, FanPeriod, -112
00003E65, VoltageCellMuxSelect, 38
00003E65, VoltageCell115, 3.7269
00003E65, VoltageCell116, 3.7297000000000002
00003E65, VoltageCell117, 3.7710000000000004
00003E69, AdjustedVoltageCellMuxSelect, 38
00003E69, AdjustedVoltageCell115, 3.7268000000000003
00003E69, AdjustedVoltageCell116, 3.7297000000000002
00003E69, AdjustedVoltageCell117, 3.7710000000000004
00003E6B, TempChannelMuxSelect, 38
00003E6B, TempChannel115, 24.519999999999996
00003E6B, TempChannel116, 21.460000000000008
00003E6B, TempChannel117, 24.519999999999996
00003E6F, VoltageBusHV, 0.02
00003E6F, VoltageCellMax, 3.9129
00003E6F, VoltageCellMin, 3.6955
00003E6F, CurrentBusHV, 0.01
00003E71, AMS_PackVoltage, 525.59
00003E78, VCU_wheelSpeed_RL, 0.0
00003E78, VCU_wheelSpeed_RR, 0.0
00003E7A, RLSpeedKPH, 0.0
00003E7A, RRSpeedKPH, 0.0
00003E7A, FLSpeedKPH, 0.0
00003E7A, FRSpeedKPH, 0.0
00003E7C, TCTorqueMax, 3.392
00003E7C, TCLeftSlip, -0.999
00003E7C, TCRightSlip, -0.999
00003E7C, TCTorqueAdjustment, 0.0
00003E7D, VCU_Heartbeat_dummydata, 0
00003E7D, ThrottlePercent, 0
00003E7D, BrakePercent, 8
00003E7D, brakePressure, 10
00003E7D, SteeringAngle, -102
00003E7D, BrakeWhileThrottle, 0
00003E97, VoltageBusLV, 12123
00003E97, CurrentBusLV, 408
00003E97, VoltageCellMuxSelect, 39
00003E97, VoltageCell118, 3.7846
00003E97, VoltageCell119, 3.7721
00003E97, VoltageCell120, 3.7734
00003E99, AdjustedVoltageCellMuxSelect, 39
00003E99, AdjustedVoltageCell118, 3.7846
00003E99, AdjustedVoltageCell119, 3.7722
00003E99, AdjustedVoltageCell120, 3.7734
00003E9B, TempChannelMuxSelect, 39
00003E9B, TempChannel118, 21.36
00003E9B, TempChannel119, 21.409999999999997
00003E9B, TempChannel120, 21.36
00003E9B, VCU_wheelSpeed_RL, 0.0
00003E9B, VCU_wheelSpeed_RR, 0.0
00003E9D, RLSpeedKPH, 0.0
00003E9D, RRSpeedKPH, 0.0
00003E9D, FLSpeedKPH, 0.0
00003E9D, FRSpeedKPH, 0.0
00003E9F, TCTorqueMax, 3.392
00003E9F, TCLeftSlip, -0.999
00003E9F, TCRightSlip, -0.999
00003E9F, TCTorqueAdjustment, 0.0
00003EAF, ThrottlePercent, 0
00003EAF, BrakePercent, 7
00003EAF, brakePressure, 10
00003EAF, SteeringAngle, -102
00003EAF, BrakeWhileThrottle, 0
00003EBE, VCU_wheelSpeed_RL, 0.0
00003EBE, VCU_wheelSpeed_RR, 0.0
00003EC0, RLSpeedKPH, 0.0
00003EC0, RRSpeedKPH, 0.0
00003EC0, FLSpeedKPH, 0.0
00003EC0, FRSpeedKPH, 0.0
00003EC2, TCTorqueMax, 3.392
00003EC2, TCLeftSlip, -0.999
00003EC2, TCRightSlip, -0.999
00003EC2, TCTorqueAdjustment, 0.0
00003ECD, StateBatteryChargeHV, 92.80000000000001
00003ECD, StateBatteryHealthHV, 0.0
00003ECD, StateBatteryPowerHV, 100.80000000000001
00003ECD, TempCellMax, 24.75
00003ECD, TempCellMin, 21.5
00003ECD, StateBMS, Wait_System_Up
00003ECD, VoltageCellMuxSelect, 40
00003ECD, VoltageCell121, 3.7343
00003ECD, VoltageCell122, 3.7270000000000003
00003ECD, VoltageCell123, 3.7268000000000003
00003ECF, AdjustedVoltageCellMuxSelect, 40
00003ECF, AdjustedVoltageCell121, 3.7346000000000004
00003ECF, AdjustedVoltageCell122, 3.7270000000000003
00003ECF, AdjustedVoltageCell123, 3.7267
00003ED1, TempChannelMuxSelect, 40
00003ED1, TempChannel121, 21.460000000000008
00003ED1, TempChannel122, 21.409999999999997
00003ED1, TempChannel123, 21.439999999999998
00003ED7, VoltageBusHV, 0.0
00003ED7, VoltageCellMax, 3.9129
00003ED7, VoltageCellMin, 3.6955
00003ED7, CurrentBusHV, 0.01
00003ED8, AMS_PackVoltage, 525.59
00003EE1, ThrottlePercent, 0
00003EE1, BrakePercent, 8
00003EE1, brakePressure, 10
00003EE1, SteeringAngle, -102
00003EE1, BrakeWhileThrottle, 0
00003EE1, VCU_wheelSpeed_RL, 0.0
00003EE1, VCU_wheelSpeed_RR, 0.0
00003EE3, RLSpeedKPH, 0.0
00003EE3, RRSpeedKPH, 0.0
00003EE3, FLSpeedKPH, 0.0
00003EE3, FRSpeedKPH, 0.0
00003EE5, TCTorqueMax, 3.392
00003EE5, TCLeftSlip, -0.999
00003EE5, TCRightSlip, -0.999
00003EE5, TCTorqueAdjustment, 0.0
00003EFB, VoltageCellMuxSelect, 41
00003EFB, VoltageCell124, 3.7268000000000003
00003EFB, VoltageCell125, 3.7264000000000004
00003EFB, VoltageCell126, 3.7277
00003EFF, AdjustedVoltageCellMuxSelect, 41
00003EFF, AdjustedVoltageCell124, 3.7269
00003EFF, AdjustedVoltageCell125, 3.7264000000000004
00003EFF, AdjustedVoltageCell126, 3.7277
00003F01, TempChannelMuxSelect, 41
00003F01, TempChannel124, 21.439999999999998
00003F01, TempChannel125, 21.519999999999996
00003F01, TempChannel126, 21.39
00003F04, VCU_wheelSpeed_RL, 0.0
00003F04, VCU_wheelSpeed_RR, 0.0
00003F06, RLSpeedKPH, 0.0
00003F06, RRSpeedKPH, 0.0
00003F06, FLSpeedKPH, 0.0
00003F06, FRSpeedKPH, 0.0
00003F08, TCTorqueMax, 3.392
00003F08, TCLeftSlip, -0.999
00003F08, TCRightSlip, -0.999
00003F08, TCTorqueAdjustment, 0.0
00003F13, ThrottlePercent, 0
00003F13, BrakePercent, 8
00003F13, brakePressure, 10
00003F13, SteeringAngle, -102
00003F13, BrakeWhileThrottle, 0
00003F27, VCU_wheelSpeed_RL, 0.0
00003F27, VCU_wheelSpeed_RR, 0.0
00003F29, RLSpeedKPH, 0.0
00003F29, RRSpeedKPH, 0.0
00003F29, FLSpeedKPH, 0.0
00003F29, FRSpeedKPH, 0.0
00003F2B, TCTorqueMax, 3.392
00003F2B, TCLeftSlip, -0.999
00003F2B, TCRightSlip, -0.999
00003F2B, TCTorqueAdjustment, 0.0
00003F3B, StateBatteryChargeHV, 92.80000000000001
00003F3B, StateBatteryHealthHV, 0.0
00003F3B, StateBatteryPowerHV, 100.80000000000001
00003F3B, TempCellMax, 24.75
00003F3B, TempCellMin, 21.5
00003F3B, StateBMS, Wait_System_Up
00003F3B, VoltageCellMuxSelect, 42
00003F3B, VoltageCell127, 3.714
00003F3B, VoltageCell128, 3.7809000000000004
00003F3B, VoltageCell129, 3.7739000000000003
00003F3D, VoltageBusHV, 0.04
00003F3D, VoltageCellMax, 3.9129
00003F3D, VoltageCellMin, 3.6955
00003F3D, CurrentBusHV, 0.01
00003F3D, AdjustedVoltageCellMuxSelect, 42
00003F3D, AdjustedVoltageCell127, 3.7139
00003F3D, AdjustedVoltageCell128, 3.7809000000000004
00003F3D, AdjustedVoltageCell129, 3.7738
00003F3F, AMS_PackVoltage, 525.59
00003F3F, TempChannelMuxSelect, 42
00003F3F, TempChannel127, 21.49000000000001
00003F3F, TempChannel128, 21.42
00003F3F, TempChannel129, 21.560000000000002
00003F45, ThrottlePercent, 0
00003F45, BrakePercent, 9
00003F45, brakePressure, 10
00003F45, SteeringAngle, -102
00003F45, BrakeWhileThrottle, 0
00003F4A, VCU_wheelSpeed_RL, 0.0
00003F4A, VCU_wheelSpeed_RR, 0.0
00003F4C, RLSpeedKPH, 0.0
00003F4C, RRSpeedKPH, 0.0
00003F4C, FLSpeedKPH, 0.0
00003F4C, FRSpeedKPH, 0.0
00003F4E, TCTorqueMax, 3.392
00003F4E, TCLeftSlip, -0.999
00003F4E, TCRightSlip, -0.999
00003F4E, TCTorqueAdjustment, 0.0
00003F60, VoltageCellMuxSelect, 43
00003F60, VoltageCell130, 3.7712000000000003
00003F60, VoltageCell131, 3.7346000000000004
00003F60, VoltageCell132, 3.7291000000000003
00003F62, AdjustedVoltageCellMuxSelect, 43
00003F62, AdjustedVoltageCell130, 3.7712000000000003
00003F62, AdjustedVoltageCell131, 3.7346000000000004
00003F62, AdjustedVoltageCell132, 3.7291000000000003
00003F66, TempChannelMuxSelect, 43
00003F66, TempChannel130, 21.5
00003F66, TempChannel131, 21.439999999999998
00003F66, TempChannel132, 21.460000000000008
00003F6D, VCU_wheelSpeed_RL, 0.0
00003F6D, VCU_wheelSpeed_RR, 0.0
00003F6F, RLSpeedKPH, 0.0
00003F6F, RRSpeedKPH, 0.0
00003F6F, FLSpeedKPH, 0.0
00003F6F, FRSpeedKPH, 0.0
00003F71, TCTorqueMax, 3.392
00003F71, TCLeftSlip, -0.999
00003F71, TCRightSlip, -0.999
00003F71, TCTorqueAdjustment, 0.0
00003F77, ThrottlePercent, 0
00003F77, BrakePercent, 8
00003F77, brakePressure, 10
00003F77, SteeringAngle, -102
00003F77, BrakeWhileThrottle, 0
00003F90, VCU_wheelSpeed_RL, 0.0
00003F90, VCU_wheelSpeed_RR, 0.0
00003F92, RLSpeedKPH, 0.0
00003F92, RRSpeedKPH, 0.0
00003F92, FLSpeedKPH, 0.0
00003F92, FRSpeedKPH, 0.0
00003F94, TCTorqueMax, 3.392
00003F94, TCLeftSlip, -0.999
00003F94, TCRightSlip, -0.999
00003F94, TCTorqueAdjustment, 0.0
00003FA5, VoltageBusHV, 0.04
00003FA5, VoltageCellMax, 3.9129
00003FA5, VoltageCellMin, 3.6955
00003FA5, CurrentBusHV, 0.01
00003FA7, AMS_PackVoltage, 525.59
00003FA7, StateBatteryChargeHV, 92.80000000000001
00003FA7, StateBatteryHealthHV, 0.0
00003FA7, StateBatteryPowerHV, 100.80000000000001
00003FA7, TempCellMax, 24.75
00003FA7, TempCellMin, 21.5
00003FA7, StateBMS, Wait_System_Up
00003FA8, VoltageCellMuxSelect, 44
00003FA8, VoltageCell133, 3.7256
00003FA8, VoltageCell134, 3.7230000000000003
00003FA8, VoltageCell135, 3.7225
00003FA9, ThrottlePercent, 0
00003FA9, BrakePercent, 8
00003FA9, brakePressure, 10
00003FA9, SteeringAngle, -102
00003FA9, BrakeWhileThrottle, 0
00003FAA, AdjustedVoltageCellMuxSelect, 44
00003FAA, AdjustedVoltageCell133, 3.7256
00003FAA, AdjustedVoltageCell134, 3.7230000000000003
00003FAA, AdjustedVoltageCell135, 3.7225
00003FAC, TempChannelMuxSelect, 44
00003FAC, TempChannel133, 21.430000000000007
00003FAC, TempChannel134, 21.53
00003FAC, TempChannel135, 21.439999999999998
00003FB3, VCU_wheelSpeed_RL, 0.0
00003FB3, VCU_wheelSpeed_RR, 0.0
00003FB5, RLSpeedKPH, 0.0
00003FB5, RRSpeedKPH, 0.0
00003FB5, FLSpeedKPH, 0.0
00003FB5, FRSpeedKPH, 0.0
00003FB7, TCTorqueMax, 3.392
00003FB7, TCLeftSlip, -0.999
00003FB7, TCRightSlip, -0.999
00003FB7, TCTorqueAdjustment, 0.0
00003FC3, VoltageCellMuxSelect, 45
00003FC3, VoltageCell136, 3.7293000000000003
00003FC3, VoltageCell137, 3.7163000000000004
00003FC3, VoltageCell138, 3.7818
00003FC5, AdjustedVoltageCellMuxSelect, 45
00003FC5, AdjustedVoltageCell136, 3.7293000000000003
00003FC5, AdjustedVoltageCell137, 3.7163000000000004
00003FC5, AdjustedVoltageCell138, 3.7817000000000003
00003FC7, TempChannelMuxSelect, 45
00003FC7, TempChannel136, 21.820000000000007
00003FC7, TempChannel137, 21.510000000000005
00003FC7, TempChannel138, 21.5
00003FD6, VCU_wheelSpeed_RL, 0.0
00003FD6, VCU_wheelSpeed_RR, 0.0
00003FD8, RLSpeedKPH, 0.0
00003FD8, RRSpeedKPH, 0.0
00003FD8, FLSpeedKPH, 0.0
00003FD8, FRSpeedKPH, 0.0
00003FDA, TCTorqueMax, 3.392
00003FDA, TCLeftSlip, -0.999
00003FDA, TCRightSlip, -0.999
00003FDA, TCTorqueAdjustment, 0.0
00003FDB, ThrottlePercent, 0
00003FDB, BrakePercent, 8
00003FDB, brakePressure, 10
00003FDB, SteeringAngle, -102
00003FDB, BrakeWhileThrottle, 0
00003FF5, VoltageCellMuxSelect, 46
00003FF5, VoltageCell139, 3.7722
00003FF5, VoltageCell140, 3.7735000000000003
00003FFC, VCU_wheelSpeed_RL, 0.0
00003FFC, VCU_wheelSpeed_RR, 0.0
00003FFC, AdjustedVoltageCellMuxSelect, 46
00003FFC, AdjustedVoltageCell139, 3.7722
00003FFC, AdjustedVoltageCell140, 3.7735000000000003
00003FFC, TempChannelMuxSelect, 46
00003FFC, TempChannel139, 21.560000000000002
00003FFC, TempChannel140, 21.450000000000003
00003FFC, TempChannel141, 21.540000000000006
00003FFC, RLSpeedKPH, 0.0
00003FFC, RRSpeedKPH, 0.0
00003FFC, FLSpeedKPH, 0.0
00003FFC, FRSpeedKPH, 0.0
00003FFC, TCTorqueMax, 3.392
00003FFC, TCLeftSlip, -0.999
00003FFC, TCRightSlip, -0.999
00003FFC, TCTorqueAdjustment, 0.0
0000400C, VoltageBusHV, 0.07
0000400C, VoltageCellMax, 3.9129
0000400C, VoltageCellMin, 3.6955
0000400C, CurrentBusHV, 0.0
0000400D, ThrottlePercent, 0
0000400D, BrakePercent, 6
0000400D, brakePressure, 10
0000400D, SteeringAngle, -102
0000400D, BrakeWhileThrottle, 0
0000400E, AMS_PackVoltage, 525.59
